Rewards,Lengths,Loss,Q1,Best_Distances
25.0,30,0.74514,5.42817,314
24.4,35,1.08413,5.45759,309
63.35,77,0.75979,5.49355,704
25.25,30,0.65911,5.50755,314
24.5,30,0.66133,5.4987,314
116.15,135,0.9123,5.49669,1238
133.45,196,0.87546,5.51279,1434
102.5,239,0.94335,5.46691,1128
61.3,83,0.77577,5.53134,692
156.95,208,0.92444,5.48947,1666
24.75,30,0.63449,5.51711,314
62.4,105,0.67008,5.56787,702
24.3,36,0.94711,5.56592,308
24.8,28,0.90221,5.50624,311
23.1,41,0.90165,5.43503,297
24.0,33,1.12984,5.4425,304
63.5,78,0.59141,5.57518,708
63.8,76,0.8257,5.6046,711
24.8,30,0.53561,5.52699,311
24.8,30,0.57741,5.54459,312
63.25,87,0.82861,5.51091,705
24.15,35,0.7811,5.47895,308
25.0,30,0.83824,5.57481,314
60.6,83,0.62397,5.57001,680
25.0,30,0.69496,5.49845,313
24.9,31,1.14812,5.53729,313
103.25,209,0.82576,5.51601,1127
61.85,117,0.85776,5.53515,702
25.0,30,0.42868,5.59777,314
24.7,34,0.81183,5.61586,311
